PK,CCR,GENDER,RACE,AGE,CITEDTIME,INCIDENTLOCATION,OFFENSES,NEIGHBORHOOD,ZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
1090842,19029644,M,W,14,2019-02-14T19:29:00,"2200 Block SPOKANE AV PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Carrick,3,2904,,,0,0
1090843,19020910,M,W,23,2019-02-02T01:15:00,"2100 Block E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1609,3,3,-79.9760719669211,40.4283146103025
1090844,19030263,M,W,32,2019-02-15T16:41:00,"400 Block IBERIA ST PITTSBURGH, PA ",3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,Mount Washington,3,1807,,,0,0
1090845,19020910,F,W,23,2019-02-02T01:15:00,"2100 Block E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1609,3,3,-79.9760719669211,40.4283146103025
1090846,19020998,M,B,60,2019-02-02T04:25:00,"200 Block BOGGS AV PITTSBURGH, PA ",5505 Public Drunkenness,Mount Washington,3,1915,2,5,-80.0078028008636,40.4263717947749
1090847,19020955,M,W,37,2019-02-02T02:40:00,"600 Block MOREWOOD AV PITTSBURGH, PA ","5532(a)(2) Neglect of Animals - Neglect of Animals, Shelter/Protection, Bodily Injury",Shadyside,4,709,8,2,-79.9430571773875,40.4508558610197
1090848,19020890,M,W,21,2019-02-02T00:12:00,"3600 Block BATES ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Central Oakland,4,406,3,3,-79.9547899404104,40.4371211657683
1090849,19020449,F,W,41,2019-02-01T09:54:00,"200 Block 5TH AV PITTSBURGH, PA ",5505 Public Drunkenness,Central Business District,2,201,6,6,-80.0020771081555,40.4412363988277
1090861,18239296,F,B,19,2018-12-05T12:00:00,"600 Block PENN AV PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Central Business District,2,201,6,6,-80.0017928321911,40.4425929172081
1090862,18239296,F,B,17,2018-12-05T12:00:00,"600 Block PENN AV PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Central Business District,2,201,6,6,-80.0017928321911,40.4425929172081
1090863,18255568,M,W,59,2018-12-30T14:34:00,"600 Block ROLLA ST PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Perry South,1,2614,6,1,-80.0147410337821,40.4609661377358
1090864,18255568,M,W,59,2018-12-30T14:34:00,"600 Block ROLLA ST PITTSBURGH, PA ",5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,Perry South,1,2614,6,1,-80.0147410337821,40.4609661377358
1090865,18255629,F,B,37,2018-12-29T23:00:00,"3200 Block E CARSON ST PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",South Side Flats,3,1609,2,5,-80.0503523924791,40.4615107539974
1090866,18255782,M,B,16,2018-12-30T21:41:00,"2200 Block WILNER DR PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Homewood North,5,1301,,,0,0
1090867,18255782,F,B,16,2018-12-30T21:41:00,"2200 Block WILNER DR PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Homewood North,5,1301,,,0,0
1090881,19021549,M,W,23,2019-02-03T01:35:00,"300 Block NORTH SHORE DR PITTSBURGH, PA ",5505 Public Drunkenness,Outside City,1,5599,,,0,0
1090901,19021621,F,W,27,2019-02-02T01:30:00,"S 17TH ST & E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.9820508989135,40.4288428977868
1090902,19022087,F,B,57,2019-02-03T22:00:00,"500 Block E WARRINGTON AV PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Beltzhoover,3,1809,3,5,-79.9986966150722,40.4210081791152
1090903,19022087,F,B,57,2019-02-03T22:00:00,"500 Block E WARRINGTON AV PITTSBURGH, PA ","5507(a) Obstructing highway, railroad or public passage",Beltzhoover,3,1809,3,5,-79.9986966150722,40.4210081791152
1090904,19022301,F,W,34,2019-02-04T09:04:00,"700 Block 2ND AV PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Bluff,2,103,6,6,-79.9944009957316,40.4352761505558
1090905,19022301,F,W,34,2019-02-04T09:04:00,"700 Block 2ND AV PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Bluff,2,103,6,6,-79.9944009957316,40.4352761505558
1090906,19022690,M,B,25,2019-02-04T18:39:00,"MEADOW ST & LINCOLN AV PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Larimer,5,1204,9,2,-79.909792248901,40.4610640817249
1090907,19023193,M,B,31,2019-02-05T12:49:00,"KIRKPATRICK ST & WEBSTER AV PITTSBURGH, PA ",761.01 License required from Police,Middle Hill,2,501,6,3,-79.9779036320257,40.4473484181829
1090908,19023398,M,B,21,2019-02-05T18:17:00,"1700 Block BROADWAY AV PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Beechview,6,1920,4,5,-80.0252843254653,40.4084793962549
1090909,19023517,F,B,54,2019-02-05T17:06:00,"MOOSEHART ST & OAKWOOD ST PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,East Hills,5,1306,,,-79.884032138818,40.4489256001045
1090910,19023910,M,B,58,2019-02-06T14:35:00,"MORAVIAN WY & PRESSLEY ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",East Allegheny,1,2304,1,1,-80.0005025193467,40.4517474375671
1090911,19024106,M,B,20,2019-02-06T19:50:00,"100 Block FLOWERS AV PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Hazelwood,4,1515,,,0,0
1090912,19024112,M,W,26,2019-02-06T19:56:00,"400 Block RUXTON ST PITTSBURGH, PA ",607.03 Discharging Firearm or Airgun,Mount Washington,3,1807,3,5,-80.0010716853448,40.4249436196381
1090913,19024166,F,B,20,2019-02-06T21:42:00,"2000 Block WHARTON ST PITTSBURGH, PA ","3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",South Side Flats,3,1702,3,3,-79.9764156141861,40.4303397697057
1090914,19024411,M,B,25,2019-02-07T09:16:00,"1700 Block BRIGHTON RD PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",California-Kirkbride,1,2507,6,1,-80.0158935817082,40.458529066572
1090915,19024573,M,W,25,2019-02-07T13:30:00,"3700 Block MERLE ST PITTSBURGH, PA ",3503(b.1)(i) Simple Trespasser -- threatening or terrorizing the owner or occupant of the premises,Windgap,6,2807,2,5,-80.0784966476992,40.4567791656832
1090916,19024573,M,W,25,2019-02-07T13:30:00,"3700 Block MERLE ST PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Windgap,6,2807,2,5,-80.0784966476992,40.4567791656832
1090917,19024939,M,W,21,2019-02-07T23:46:00,"BATES ST & OAKLAND AV PITTSBURGH, PA ",5505 Public Drunkenness,Central Oakland,4,405,3,3,-79.9534175045477,40.4386329844153
1090918,19024939,M,W,21,2019-02-07T23:46:00,"BATES ST & OAKLAND AV PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,Central Oakland,4,405,3,3,-79.9534175045477,40.4386329844153
1090919,19024952,F,B,20,2019-02-08T00:15:00,"2400 Block BEFORD AV PITTSBURGH, PA ","3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",Bedford Dwellings,2,509,6,3,-79.9742739984904,40.4496143418734
1090920,19024971,M,O,39,2019-02-08T00:50:00,"100 Block 9TH ST PITTSBURGH, PA ","3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",Central Business District,2,201,,,0,0
1090921,19024994,M,B,48,2019-02-08T01:38:00,"ROBINSON ST & TERRACE ST PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,West Oakland,4,402,6,3,-79.9655527154486,40.4403333543904
1090922,19024994,F,B,26,2019-02-08T01:38:00,"CHESTERFIELD RD & 5TH AV PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,West Oakland,4,402,6,3,-79.9617734289151,40.4393623233113
1090923,19025125,M,B,30,2019-02-08T08:00:00,"2800 Block EDWARDS WY PITTSBURGH, PA ",3503(b.1)(1)(iii) CRIMINAL TRESPASS/SIMPLE TRESPASSER,South Side Slopes,3,1608,3,3,-79.9684366513581,40.4241062019523
1090924,19025404,M,B,20,2019-02-08T16:00:00,"2300 Block EAST HILLS DR PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Homewood North,5,1301,9,2,-79.871328586779,40.4566162367709
1090925,19026222,F,W,46,2019-02-09T20:30:00,"900 Block PENN AV PITTSBURGH, PA ",5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,Central Business District,2,201,6,6,-79.9980468769971,40.4436186700538
1090926,19026237,M,B,17,2019-02-09T22:02:00,"6TH AV & MONTOUR WY PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Central Business District,2,201,6,6,-79.9972387977627,40.4412839076939
1090927,19026273,F,W,28,2019-02-09T23:30:00,"1500 Block E CARSON ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,South Side Flats,3,1702,3,3,-79.9833100173741,40.4286928036566
1090928,19026273,F,W,28,2019-02-09T23:30:00,"1500 Block E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.9833100173741,40.4286928036566
1090929,19026284,M,B,22,2019-02-10T00:13:00,"1400 Block BINGHAM ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.9840389848657,40.4293734144452
1090930,19026307,M,W,21,2019-02-10T00:35:00,"1000 Block BRADISH ST PITTSBURGH, PA ","6308(a) Underage Purchase, Consume, Possessed or Transport Liquor",South Side Flats,3,1702,3,3,-79.9883632054431,40.4270262929082
1090931,19026329,F,W,28,2019-02-10T01:50:00,"S 10TH ST & E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.9885762778787,40.4287104703372
1090932,19026358,M,W,22,2019-02-09T02:11:00,"3600 Block BATES ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Central Oakland,4,405,3,3,-79.9547899404104,40.4371211657683
1090933,19026358,M,W,22,2019-02-11T02:22:00,"3600 Block BATES ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Central Oakland,4,405,3,3,-79.9547899404104,40.4371211657683
1090934,19026843,M,B,57,2019-02-10T20:00:00,"7200 Block FELICIA WY PITTSBURGH, PA ",5505 Public Drunkenness,Homewood South,5,1303,9,2,-79.8964467490695,40.4569332160223
1090935,19026885,F,B,19,2019-02-10T21:50:00,"6800 Block FRANKSTOWN AV PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Homewood West,5,1207,9,2,-79.9059851373518,40.4581223295946
1090936,19027164,M,B,59,2019-02-11T10:55:00,"N FEDERAL ST & W NORTH AV PITTSBURGH, PA ",601.08 (a) Open Container Law,Allegheny Center,1,2204,1,1,-80.0066356663443,40.4554569884448
1090937,19027374,M,B,34,2019-02-11T16:50:00,"CARVER ST & LARIMER AV PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Highland Park,5,1106,9,2,-79.9152947749336,40.4648052792943
1090941,19026237,M,B,17,2019-02-09T22:02:00,"6TH AV & MONTOUR WY PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Central Business District,2,201,6,6,-79.9972387977627,40.4412839076939
1090942,19027401,M,W,55,2019-02-11T17:21:00,"6100 Block STATION ST PITTSBURGH, PA ",5505 Public Drunkenness,East Liberty,5,1115,9,2,-79.9186239632842,40.4687844324904
1090943,19027835,M,B,35,2019-02-12T10:10:00,"WOODLAND AV & CALIFORNIA AV PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Marshall-Shadeland,1,2715,1,1,-80.0341307422847,40.4667709809935
1090944,19029288,M,B,107,2019-02-14T10:47:00,"500 Block S GRAHAM ST PITTSBURGH, PA ","5507(a) Obstructing highway, railroad or public passage",Shadyside,4,709,8,2,-79.9364901322443,40.456543901304
1090945,19029288,M,B,41,2019-02-14T10:47:00,"500 Block S GRAHAM ST PITTSBURGH, PA ",5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,Shadyside,4,709,8,2,-79.9364901322443,40.456543901304
1090946,19029791,M,W,23,2019-02-15T00:45:00,"1200 Block E CARSON ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.9862131966527,40.4285828598749
1090947,19029826,M,W,22,2019-02-15T02:22:00,"S 17TH ST & E CARSON ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.9820508989135,40.4288428977868
1090948,19029836,M,B,22,2019-02-15T02:40:00,"S 15 ST & ROLAND ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.9834385131345,40.4285634613338
1090949,19030077,M,W,42,2019-02-15T11:47:00,"5900 Block CENTRE AV PITTSBURGH, PA ",5505 Public Drunkenness,Bloomfield,4,809,,,0,0
1090950,19030303,M,B,29,2019-02-15T17:41:00,"MICHIGAN ST & BERND ST PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Beltzhoover,3,1809,3,5,-79.9981699626253,40.4159521113988
1090951,19030331,M,W,59,2019-02-15T18:17:00,"4000 Block BUTLER ST PITTSBURGH, PA ",5505 Public Drunkenness,Central Lawrenceville,2,901,7,2,-79.9616807037037,40.4687010518457
1090952,19030447,M,O,35,2019-02-15T20:40:00,"200 Block W STATION SQUARE DR PITTSBURGH, PA ","3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",South Shore,3,1921,2,5,-80.0054855423423,40.4340115904025
1090953,19030527,F,B,20,2019-02-16T00:05:00,"1600 Block E CARSON ST PITTSBURGH, PA ","3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",South Side Flats,3,1702,3,3,-79.9826498409866,40.428754714415
1090954,19030578,M,B,24,2019-02-16T01:43:00,"E CARSON ST & S 12TH ST PITTSBURGH, PA ",5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,South Side Flats,3,1702,3,3,-79.9864255057321,40.4287576119159
1090955,19030896,M,B,33,2019-02-16T14:57:00,"GRANT ST & 6TH AV PITTSBURGH, PA ","419.01 Obstruction of Street, Sidewalk, or Public Way",Central Business District,2,201,6,6,-79.9958855306031,40.4407645617458
1090956,19031240,M,B,24,2019-02-17T01:50:00,"1700 Block E CARSON ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,South Side Flats,3,1702,3,3,-79.9818723137217,40.4285931755253
1090957,19031240,M,B,24,2019-02-17T01:50:00,"1700 Block E CARSON ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.9818723137217,40.4285931755253
1090958,19032187,M,W,30,2019-02-15T12:00:00,"100 Block BOULEVARD OF THE ALLIES PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Central Business District,2,201,6,6,-80.0049627484362,40.4393411197874
1090959,19032189,M,B,50,2019-02-18T15:39:00,"LAMAR RD & WILLIAMS RD PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",Northview Heights,1,2609,1,1,-79.9976993382146,40.4746016718801
1090960,19032196,M,W,67,2019-02-18T15:00:00,"300 Block FORT DUQUESNE BL PITTSBURGH, PA ","3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",Central Business District,2,201,,,0,0
1090961,19030411,M,B,19,2019-02-15T19:54:00,"S 12TH ST & SARAH ST PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,South Side Flats,3,1702,3,3,-79.9863623457099,40.4277462951036
1090962,19031241,M,B,42,2019-02-17T02:06:00,"6700 Block FRANKSTOWN AV PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Homewood West,5,1207,9,2,-79.908011866878,40.458666406458
1090963,19031241,M,B,29,2019-02-17T02:06:00,"6700 Block FRANKSTOWN AV PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Homewood West,5,1207,9,2,-79.908011866878,40.458666406458
1090964,19031326,M,B,41,2019-02-17T04:42:00,"MAYFIELD AV & MOHN WY PITTSBURGH, PA ",2709(a)(3) Harassment No Legitimate Purpose,Perry South,1,2615,6,1,-80.0149648872077,40.4733709380809
1090965,19032318,M,W,42,2019-02-18T19:35:00,"800 Block MIFFLIN RD PITTSBURGH, PA ",5505 Public Drunkenness,Lincoln Place,4,3102,5,3,-79.925492727798,40.3795782012517
1090966,19032467,M,B,36,2019-02-19T00:24:00,"3100 Block CORDELL PL PITTSBURGH, PA ","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",Arlington Heights,3,1604,3,3,-79.963452973864,40.4177171713236
1090967,19032921,F,B,51,2019-02-19T18:11:00,"E OHIO ST & UNION PL PITTSBURGH, PA ",5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST,Allegheny Center,1,2204,1,1,-80.0026190914529,40.4531567148846
1090968,19033010,M,W,30,2019-02-19T20:00:00,"600 Block BOGGS AV PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,Mount Washington,3,1915,,,0,0
1090969,19033331,F,W,27,2019-02-20T10:25:00,"2000 Block WALTON AV PITTSBURGH, PA ","3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",Overbrook,3,3204,4,5,-79.9944846494585,40.3931971622161
1090970,19033343,M,B,55,2019-02-20T10:30:00,"10 Block 35TH ST PITTSBURGH, PA ",2709(a)(3) Harassment No Legitimate Purpose,Lower Lawrenceville,2,603,,,0,0
1090971,19034256,F,B,34,2019-02-21T17:35:00,"HAZELWOOD AV & SYLVAN AV PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Hazelwood,4,1515,5,3,-79.94179322876,40.4119062902279
1090972,19034469,M,W,22,2019-02-21T23:54:00,"S 14TH ST & E CARSON ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,South Side Flats,3,1702,3,3,-79.9841490514312,40.42880715024
1090973,19034469,M,W,23,2019-02-21T23:54:00,"S 14TH ST & E CARSON ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,South Side Flats,3,1702,3,3,-79.9841490514312,40.42880715024
1090974,19034492,M,W,26,2019-02-22T00:40:00,"1500 Block E CARSON ST PITTSBURGH, PA ",3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,South Side Flats,3,1702,3,3,-79.9833100173741,40.4286928036566
1090975,19034519,M,B,22,2019-02-22T01:45:00,"E CARSON ST & S 16TH ST PITTSBURGH, PA ",5505 Public Drunkenness,South Side Flats,3,1702,3,3,-79.9828313417294,40.4288374283505
1090976,19034525,M,W,22,2019-02-22T02:02:00,"S 13TH ST & MURIEL ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.9853832615239,40.4301067913111
1090977,19034682,M,B,16,2019-02-22T09:18:00,"1300 Block HERMAN ST PITTSBURGH, PA ","3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means",Troy Hill,1,2406,,,0,0
1090978,19034682,M,B,16,2019-02-22T09:18:00,"1300 Block HERMAN ST PITTSBURGH, PA ",3503(b.1) Criminal Trespass - Simple Trespasser,Troy Hill,1,2406,,,0,0
1090979,19035284,M,B,33,2019-02-23T02:21:00,"S 14TH ST & BINGHAM ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.9841454048711,40.4294566187914
1090980,19035284,M,B,29,2019-02-23T02:21:00,"S 14TH ST & BINGHAM ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.9841454048711,40.4294566187914
1090981,19035704,M,W,41,2019-02-23T18:45:00,"900 Block PENN AV PITTSBURGH, PA ",5505 Public Drunkenness,Central Business District,2,201,6,6,-79.9980468769971,40.4436186700538
1090982,19035873,M,W,21,2019-02-24T00:47:00,"BATES ST & OAKLAND AV PITTSBURGH, PA ",5505 Public Drunkenness,Central Oakland,4,405,3,3,-79.9534175045477,40.4386329844153
1090983,19035873,M,W,21,2019-02-24T00:47:00,"BATES ST & OAKLAND AV PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,Central Oakland,4,405,3,3,-79.9534175045477,40.4386329844153
1090984,19035879,M,W,46,2019-02-24T00:50:00,"100 Block 6TH ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",Central Business District,2,201,6,6,-80.0027419046433,40.4440473749963
1090985,19035937,M,B,24,2019-02-24T02:27:00,"S 15TH ST & E CARSON ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.9834282365531,40.4288231401582
1090986,19035941,M,B,32,2019-02-24T02:32:00,"S 14TH ST & E CARSON ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.9841490514312,40.42880715024
1090987,19036325,M,H,35,2019-02-24T15:03:00,"40 Block ELLIOTT ST PITTSBURGH, PA ",3503(b.1)(1)(iii) CRIMINAL TRESPASS/SIMPLE TRESPASSER,Elliott,6,2020,2,5,-80.0307579358003,40.4440368591269
1090988,19036371,M,W,42,2019-02-24T15:48:00,"FORT PITT BL & STANWIX ST PITTSBURGH, PA ",602.04(b)(1)(c) Panhandling-Hindrance to traffic: Violates traffice regulations for pedestrians or vehicles,Central Business District,2,201,6,6,-80.0057869186424,40.4385712306167
1091001,19034506,F,O,21,2019-02-22T01:30:00,"200 Block ATWOOD ST PITTSBURGH, PA ",6310.3(a) Carrying a False Identification Card; under 21 to obtain liquor,Central Oakland,4,405,,,0,0
1091002,19034516,M,B,34,2019-02-22T01:33:00,"1700 Block E CARSON ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.9818723137217,40.4285931755253
1091003,19034516,M,B,34,2019-02-22T01:33:00,"1700 Block E CARSON ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.9818723137217,40.4285931755253
1091004,19034529,F,W,23,2019-02-22T02:15:00,"1700 Block E CARSON ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.9818723137217,40.4285931755253
1091005,19035264,M,W,24,2019-02-23T01:37:00,"S 16TH ST & E CARSON ST PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,South Side Flats,3,1702,3,3,-79.9828313417294,40.4288374283505
1091006,19035766,M,W,27,2019-02-23T18:45:00,"900 Block PENN AV PITTSBURGH, PA ",5505 Public Drunkenness,Central Business District,2,201,6,6,-79.9980468769971,40.4436186700538
1091007,19025864,F,W,22,2019-02-24T00:05:00,"300 Block NORTH SHORE DR PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,North Shore,1,2205,,,0,0
1091008,19036287,M,W,13,2019-02-24T13:46:00,"700 Block GREENFIELD AV PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Greenfield,4,1517,5,3,-79.9380706284379,40.4250197197373
1091009,19036287,M,B,13,2019-02-24T13:46:00,"700 Block GREENFIELD AV PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Greenfield,4,1517,5,3,-79.9380706284379,40.4250197197373
1091010,19036287,M,B,14,2019-02-24T13:46:00,"700 Block GREENFIELD AV PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Greenfield,4,1517,5,3,-79.9380706284379,40.4250197197373
1091011,19037483,M,W,57,2019-02-25T12:00:00,"2000 Block MURRAY AV PITTSBURGH, PA ",2709(a)(3) Harassment No Legitimate Purpose,Squirrel Hill South,4,1408,5,3,-79.9230014255943,40.4345855975948
1091012,19037797,M,B,58,2019-02-26T17:45:00,"3RD AV & SMITHFIELD ST PITTSBURGH, PA ",601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,Central Business District,2,201,6,6,-79.9998913326528,40.4382200591105
1091013,19037972,M,B,27,2019-02-24T02:32:00,"S 14TH ST & E CARSON ST PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",South Side Flats,3,1702,3,3,-79.9841490514312,40.42880715024
1091014,19004478,M,W,32,2019-01-07T20:19:00,"5500 Block AYLESBORO AV PITTSBURGH, PA ",5505 Public Drunkenness,Squirrel Hill North,4,1401,8,3,-79.9305140572072,40.4386686029173
1091015,19022177,M,B,36,2019-02-04T02:05:00,"3300 Block WARD ST PITTSBURGH, PA ",5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,South Oakland,4,409,3,3,-79.9549043321306,40.4331760065168
1091016,19022177,M,B,36,2019-02-04T02:05:00,"3300 Block WARD ST PITTSBURGH, PA ",5505 Public Drunkenness,South Oakland,4,409,3,3,-79.9549043321306,40.4331760065168
1091017,19024648,M,W,46,2019-02-07T16:17:00,"I-376 ONRAMP & BEECHWOOD BL PITTSBURGH, PA ","5507(a) Obstructing highway, railroad or public passage",Greenfield,4,1517,,,0,0
1091018,19024841,M,O,27,2019-02-07T20:42:00,"SCHENLEY PARK OVAL PITTSBURGH, PA ",627.02(b)(i) Possessing a small amount of marijuana,Squirrel Hill South,4,1413,,,0,0
1091019,19025734,F,B,37,2019-02-09T02:30:00,"ANITA ST & MONITOR ST PITTSBURGH, PA ",5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,Squirrel Hill South,4,1414,5,3,-79.9168652153844,40.4260092848762
1091020,19025734,F,B,38,2019-02-09T02:30:00,"ANITA ST & MONITOR ST PITTSBURGH, PA ",5505 Public Drunkenness,Squirrel Hill South,4,1414,5,3,-79.9168652153844,40.4260092848762
1091021,19026072,M,B,58,2019-02-09T17:30:00,"CENTRE AV & WASHINGTON PL PITTSBURGH, PA ","601.16(b)(1)(a) Any Person who urinates or defecates in, on, or about any public place",Central Business District,2,201,6,6,-79.991533571872,40.4404759670093
1091022,19027392,M,B,38,2019-02-11T17:19:00,"EAST ST & E OHIO ST PITTSBURGH, PA ",5507 Obstructing Highways and Passages.,East Allegheny,1,2304,1,1,-79.9978773280607,40.4540288622389
